Time,Open,High,Low,Last,Change,Volume
11/14/2019,263.75,264.88,262.1,262.64,-1.83,22395500
11/13/2019,261.13,264.78,261.07,264.47,2.51,25810000
11/12/2019,261.55,262.79,260.92,261.96,-0.24000000000001,21833700
11/11/2019,258.3,262.47,258.28,262.2,2.06,20507400
11/08/2019,258.69,260.44,256.85,260.14,0.70999999999998,17520400
11/07/2019,258.74,260.35,258.11,259.43,2.19,23735000
11/06/2019,256.77,257.49,255.365,257.24,0.11000000000001,18966100
11/05/2019,257.05,258.19,256.32,257.13,-0.37,19974400
11/04/2019,257.33,257.845,255.38,257.5,1.68,25817900
11/01/2019,249.54,255.93,249.16,255.82,7.06,37781300
10/31/2019,247.24,249.17,237.26,248.76,5.5,34790500
10/30/2019,244.76,245.3,241.21,243.26,-0.030000000000001,31130500
10/29/2019,248.97,249.75,242.57,243.29,-5.76,35709800
10/28/2019,247.42,249.25,246.72,249.05,2.47,24143200
10/25/2019,243.16,246.73,242.88,246.58,3,18369200
10/24/2019,244.51,244.8,241.805,243.58,0.40000000000001,17916200
10/23/2019,241.37,243.24,241.22,243.18,3.22,19932500
10/22/2019,241.16,242.2,239.6218,239.96,-0.54999999999998,22684000
10/21/2019,237.52,240.99,237.32,240.51,4.1,22367400
10/18/2019,234.59,237.58,234.29,236.41,1.13,24377100
10/17/2019,235.09,236.15,233.52,235.28,0.91,17272800
10/16/2019,233.37,235.24,233.2,234.37,-0.94999999999999,19286600
10/15/2019,236.39,237.65,234.88,235.32,-0.55000000000001,23040400
10/14/2019,234.9,238.1342,234.6701,235.87,-0.34,24413400
10/11/2019,232.95,237.64,232.3075,236.21,6.12,41990200
10/10/2019,227.93,230.44,227.3,230.09,3.06,28962900
10/09/2019,227.03,227.79,225.64,227.03,2.63,19029400
10/08/2019,225.82,228.06,224.33,224.4,-2.66,29282700
10/07/2019,226.27,229.93,225.84,227.06,0.050000000000011,30889200
10/04/2019,225.64,227.49,223.89,227.01,6.19,34755500
10/03/2019,218.43,220.96,215.132,220.82,1.86,30352600
10/02/2019,223.06,223.58,217.93,218.96,-5.63,35767200
10/01/2019,225.07,228.22,224.2,224.59,0.62,36187100
09/30/2019,220.79,224.58,220.79,223.97,5.15,26318500
09/27/2019,220.54,220.96,217.2814,218.82,-1.07,25361200
09/26/2019,220,220.94,218.83,219.89,-1.14,19088300
09/25/2019,218.55,221.5,217.1402,221.03,3.35,22481000
09/24/2019,221.03,222.49,217.19,217.68,-1.04,31434300
09/23/2019,218.95,219.84,217.65,218.72,0.99000000000001,19419600
09/20/2019,221.38,222.56,217.473,217.73,-3.23,57977000
09/19/2019,222.01,223.76,220.37,220.96,-1.81,22187800
09/18/2019,221.06,222.85,219.44,222.77,2.07,25643000
09/17/2019,219.96,220.82,219.12,220.7,0.79999999999998,18386400
09/16/2019,217.73,220.13,217.56,219.9,1.15,21158100
09/13/2019,220,220.79,217.02,218.75,-4.335,39763200
09/12/2019,224.8,226.42,222.86,223.085,-0.505,32226600
09/11/2019,218.07,223.71,217.73,223.59,6.89,44289600
09/10/2019,213.86,216.78,211.71,216.7,2.53,31777900
09/09/2019,214.84,216.44,211.07,214.17,0.91,27309400
09/06/2019,214.05,214.42,212.51,213.26,-0.02000000000001,19362200
09/05/2019,212,213.97,211.51,213.28,4.09,23946900
09/04/2019,208.39,209.48,207.32,209.19,3.49,19216800
09/03/2019,206.43,206.98,204.22,205.7,-3.04,20059500
08/30/2019,210.16,210.45,207.2,208.74,-0.26999999999998,21162500
08/29/2019,208.5,209.32,206.655,209.01,3.48,21007600
08/28/2019,204.1,205.72,203.32,205.53,1.37,15957600
08/27/2019,207.86,208.55,203.53,204.16,-2.33,25897300
08/26/2019,205.86,207.19,205.0573,206.49,3.85,26066100
08/23/2019,209.43,212.051,201,202.64,-9.82,46882800
08/22/2019,213.19,214.435,210.75,212.46,-0.17999999999998,22267800
08/21/2019,212.99,213.65,211.6032,212.64,2.28,21564700
08/20/2019,210.88,213.35,210.32,210.36,0.010000000000019,26919500
08/19/2019,210.62,212.7307,210.025,210.35,3.85,24431900
08/16/2019,204.28,207.16,203.84,206.5,4.76,28813600
08/15/2019,204.25,205.14,199.67,201.74,-1.01,27883300
08/14/2019,203.16,206.44,202.5869,202.75,-6.22,36547400
08/13/2019,201.02,212.14,200.83,208.97,8.49,47539700
08/12/2019,199.62,202.0516,199.15,200.48,-0.51000000000002,22481800
08/09/2019,201.3,202.76,199.29,200.99,-2.44,24619700
08/08/2019,200.2,203.53,199.39,203.43,4.39,27009500
08/07/2019,195.41,199.56,193.82,199.04,2.04,33364400
08/06/2019,196.31,198.067,194.04,197,3.66,35824700
08/05/2019,197.99,198.649,192.58,193.34,-10.68,52392900
08/02/2019,205.53,206.43,201.63,204.02,-4.41,40862100
08/01/2019,213.9,218.03,206.7435,208.43,-4.61,54017900
07/31/2019,216.42,221.37,211.3,213.04,4.26,69281296
07/30/2019,208.76,210.16,207.31,208.78,-0.90000000000001,33935700
07/29/2019,208.46,210.64,208.44,209.68,1.94,21673300
07/26/2019,207.48,209.73,207.14,207.74,0.72,17618800
07/25/2019,208.89,209.24,206.73,207.02,-1.65,13909500
07/24/2019,207.67,209.15,207.17,208.67,-0.17000000000002,14991500
07/23/2019,208.46,208.91,207.29,208.84,1.62,18355200
07/22/2019,203.65,207.23,203.61,207.22,4.63,22277900
07/19/2019,205.79,206.5,202.36,202.59,-3.07,20929300
07/18/2019,204,205.88,203.7,205.66,2.31,18582100
07/17/2019,204.05,205.0915,203.27,203.35,-1.15,14107400
07/16/2019,204.59,206.11,203.5,204.5,-0.71000000000001,16866800
07/15/2019,204.09,205.87,204,205.21,1.91,16947400
07/12/2019,202.45,204,202.2,203.3,1.55,17595200
07/11/2019,203.31,204.39,201.71,201.75,-1.48,20191800
07/10/2019,201.85,203.73,201.56,203.23,1.99,17897100
07/09/2019,199.2,201.51,198.81,201.24,1.22,20578000
07/08/2019,200.81,201.4,198.41,200.02,-4.21,25338600
07/05/2019,203.35,205.08,202.9,204.23,-0.18000000000001,17265500
07/03/2019,203.28,204.44,202.6901,204.41,1.68,11362000
07/02/2019,201.41,203.1323,201.36,202.73,1.18,16935200
07/01/2019,203.17,204.49,200.65,201.55,3.63,27316700
06/28/2019,198.68,199.495,197.05,197.92,-1.82,31110600
06/27/2019,200.45,201.57,199.57,199.74,-0.060000000000002,20899700
06/26/2019,197.77,200.99,197.35,199.8,4.23,26067500
06/25/2019,198.43,199.26,195.29,195.57,-3.01,21070300
06/24/2019,198.54,200.16,198.17,198.58,-0.19999999999999,18220400
06/21/2019,198.8,200.85,198.15,198.78,-0.68000000000001,47800500
06/20/2019,200.37,200.61,198.03,199.46,1.59,21513900
06/19/2019,199.68,199.88,197.31,197.87,-0.57999999999998,21124200
06/18/2019,196.05,200.29,195.21,198.45,4.56,26551000
06/17/2019,192.9,194.96,192.17,193.89,1.15,14669100
06/14/2019,191.54,193.5863,190.3,192.74,-1.41,18761400
06/13/2019,194.7,196.79,193.6,194.15,-0.039999999999992,21674600
06/12/2019,193.95,195.97,193.385,194.19,-0.62,18253100
06/11/2019,194.86,196,193.6,194.81,2.23,26932800
06/10/2019,191.81,195.37,191.62,192.58,2.43,26220800
06/07/2019,186.51,191.92,185.77,190.15,4.93,30684300
06/06/2019,183.08,185.47,182.1489,185.22,2.68,22526300
06/05/2019,184.28,184.99,181.14,182.54,2.9,29773400
06/04/2019,175.44,179.83,174.52,179.64,6.34,30967900
06/03/2019,175.6,177.92,170.27,173.3,-1.77,40396000
05/31/2019,176.23,177.99,174.99,175.07,-3.23,27043500
05/30/2019,177.95,179.23,176.67,178.3,0.92000000000002,21218400
05/29/2019,176.42,179.35,176,177.38,-0.84999999999999,28481100
05/28/2019,178.92,180.59,177.91,178.23,-0.74000000000001,27948100
05/24/2019,180.2,182.14,178.62,178.97,-0.69,23714600
05/23/2019,179.8,180.54,177.81,179.66,-3.12,36529700
05/22/2019,184.66,185.71,182.55,182.78,-3.82,29748500
05/21/2019,185.22,188,184.7,186.6,3.51,28364800
05/20/2019,183.52,184.349,180.2839,183.09,-5.91,38612200
05/17/2019,186.93,190.9,186.76,189,-1.08,32879000
05/16/2019,189.91,192.4689,188.84,190.08,-0.83999999999997,33031300
05/15/2019,186.27,191.75,186.02,190.92,2.26,26544700
05/14/2019,186.41,189.7,185.41,188.66,2.94,36529600
05/13/2019,187.71,189.48,182.85,185.72,-11.46,57430600
05/10/2019,197.42,198.85,192.77,197.18,-3.54,41208700
05/09/2019,200.4,201.68,196.66,200.72,-2.18,34908600
05/08/2019,201.9,205.34,201.75,202.9,0.039999999999992,26339500
05/07/2019,205.88,207.4175,200.825,202.86,-5.62,38763700
05/06/2019,204.29,208.84,203.5,208.48,-3.27,32443100
05/03/2019,210.89,211.84,210.23,211.75,2.6,20892300
05/02/2019,209.84,212.65,208.13,209.15,-1.37,31996300
05/01/2019,209.88,215.31,209.23,210.52,9.85,64827300
04/30/2019,203.06,203.4,199.11,200.67,-3.94,46534900
04/29/2019,204.4,205.97,203.86,204.61,0.31,22204700
04/26/2019,204.9,205,202.12,204.3,-0.97999999999999,18649100
04/25/2019,206.83,207.76,205.12,205.28,-1.88,18543200
04/24/2019,207.36,208.48,207.05,207.16,-0.31999999999999,17540600
04/23/2019,204.43,207.75,203.9,207.48,2.95,23322900
04/22/2019,202.83,204.94,202.34,204.53,0.66999999999999,19439500
04/18/2019,203.12,204.15,202.52,203.86,0.73000000000002,24195700
04/17/2019,199.54,203.38,198.61,203.13,3.88,28906700
04/16/2019,199.46,201.37,198.56,199.25,0.02000000000001,25696300
04/15/2019,198.58,199.85,198.01,199.23,0.35999999999999,17536600
04/12/2019,199.2,200.14,196.21,198.87,-0.079999999999984,27760600
04/11/2019,200.85,201,198.4431,198.95,-1.67,20900800
04/10/2019,198.68,200.74,198.18,200.62,1.12,21695200
04/09/2019,200.32,202.85,199.23,199.5,-0.59999999999999,35768200
04/08/2019,196.42,200.23,196.34,200.1,3.1,25881600
04/05/2019,196.45,197.1,195.93,197,1.31,18526600
04/04/2019,194.79,196.37,193.14,195.69,0.34,19114200
04/03/2019,193.25,196.5,193.15,195.35,1.33,23271800
04/02/2019,191.09,194.46,191.05,194.02,2.78,22765700
04/01/2019,191.64,191.68,188.38,191.24,1.29,27861900
03/29/2019,189.83,190.08,188.54,189.95,1.23,23563900
03/28/2019,188.95,189.559,187.53,188.72,0.25,20780300
03/27/2019,188.75,189.76,186.55,188.47,1.68,29848400
03/26/2019,191.66,192.88,184.58,186.79,-1.95,49800500
03/25/2019,191.51,191.98,186.6,188.74,-2.31,43845200
03/22/2019,195.34,197.69,190.78,191.05,-4.04,42407600
03/21/2019,190.02,196.33,189.81,195.09,6.93,51034200
03/20/2019,186.23,189.49,184.73,188.16,1.63,31035200
03/19/2019,188.35,188.99,185.92,186.53,-1.49,31646300
03/18/2019,185.8,188.39,185.79,188.02,1.9,26219800
03/15/2019,184.85,187.33,183.74,186.12,2.39,39042900
03/14/2019,183.9,184.1,182.56,183.73,2.02,23579500
03/13/2019,182.25,183.3,180.92,181.71,0.80000000000001,31032500
03/12/2019,180,182.67,179.37,180.91,2.01,32467500
03/11/2019,175.49,179.12,175.35,178.9,5.99,32011000
03/08/2019,170.32,173.07,169.5,172.91,0.41,23999300
03/07/2019,173.87,174.44,172.02,172.5,-2.02,24796300
03/06/2019,174.67,175.49,173.94,174.52,-1.01,20810300
03/05/2019,175.94,176,174.54,175.53,-0.31999999999999,19737400
03/04/2019,175.69,177.75,173.97,175.85,0.88,27436200
03/01/2019,174.28,175.15,172.89,174.97,1.82,25886100
02/28/2019,174.32,174.91,172.92,173.15,-1.72,28215400
02/27/2019,173.21,175,172.73,174.87,0.53999999999999,27835300
02/26/2019,173.71,175.3,173.17,174.33,0.10000000000002,17070200
02/25/2019,174.16,175.87,173.95,174.23,1.26,21873300
02/22/2019,171.58,173,171.38,172.97,1.91,18913100
02/21/2019,171.8,172.37,170.3,171.06,-0.97,17249600
02/20/2019,171.19,173.32,170.99,172.03,1.1,26114300
02/19/2019,169.71,171.44,169.49,170.93,0.51000000000002,18972800
02/15/2019,171.25,171.7,169.75,170.42,-0.38000000000002,24626800
02/14/2019,169.71,171.26,169.38,170.8,0.62,21835700
02/13/2019,171.39,172.48,169.92,170.18,-0.70999999999998,22490200
02/12/2019,170.1,171,169.7,170.89,1.46,22283500
02/11/2019,171.05,171.21,169.25,169.43,-0.97999999999999,20993400
02/08/2019,168.99,170.66,168.42,170.41,-0.53,23819900
02/07/2019,172.4,173.94,170.34,170.94,-3.3,31741600
02/06/2019,174.65,175.57,172.85,174.24,0.060000000000002,28239500
02/05/2019,172.86,175.08,172.35,174.18,2.93,36101600
02/04/2019,167.41,171.655,167.28,171.25,4.73,31495500
02/01/2019,166.96,168.98,165.93,166.52,0.080000000000013,32668100
01/31/2019,166.11,169,164.56,166.44,1.19,40739600
01/30/2019,163.25,166.15,160.23,165.25,10.57,61109700
01/29/2019,156.25,158.13,154.11,154.68,-1.62,41587200
01/28/2019,155.79,156.33,153.66,156.3,-1.46,26192000
01/25/2019,155.48,158.13,154.32,157.76,5.06,33547800
01/24/2019,154.11,154.48,151.74,152.7,-1.22,25441500
01/23/2019,154.15,155.14,151.7,153.92,0.61999999999998,23130500
01/22/2019,156.41,156.73,152.62,153.3,-3.52,30393900
01/18/2019,157.5,157.88,155.98,156.82,0.95999999999998,33751000
01/17/2019,154.2,157.66,153.26,155.86,0.92000000000002,29821100
01/16/2019,153.08,155.88,153,154.94,1.87,30569700
01/15/2019,150.27,153.39,150.05,153.07,3.07,28710300
01/14/2019,150.85,151.27,149.22,150,-2.29,32439100
01/11/2019,152.88,153.7,151.51,152.29,-1.51,27023200
01/10/2019,152.5,153.97,150.86,153.8,0.49000000000001,35780600
01/09/2019,151.29,154.53,149.63,153.31,2.56,45099000
01/08/2019,149.56,151.82,148.52,150.75,2.82,41025300
01/07/2019,148.7,148.83,145.9,147.93,-0.32999999999998,54777700
