"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"28.01.2019","923,00","920,25","924,88","915,88","-","0,27%"
"27.01.2019","920,50","922,50","923,00","920,50","-","-0,31%"
"25.01.2019","923,38","916,25","925,88","913,38","-","0,78%"
"24.01.2019","916,25","915,12","919,38","909,62","-","0,14%"
"23.01.2019","915,00","911,00","918,12","910,00","-","0,52%"
"22.01.2019","910,25","915,00","919,38","899,88","-","-0,41%"
"21.01.2019","914,00","916,25","916,25","914,00","-","-0,11%"
"20.01.2019","915,00","915,00","915,00","915,00","-","-0,01%"
"18.01.2019","915,12","907,75","920,12","905,88","-","0,90%"
"17.01.2019","907,00","894,75","911,88","894,38","-","1,40%"
"16.01.2019","894,50","893,50","899,88","891,12","-","0,14%"
"15.01.2019","893,25","903,25","907,88","892,62","-","-1,13%"
"14.01.2019","903,50","910,25","911,00","901,62","-","-0,77%"
"11.01.2019","910,50","907,25","912,25","907,00","-","0,36%"
"10.01.2019","907,25","923,50","924,50","905,75","-","-1,79%"
"09.01.2019","923,75","918,50","926,38","917,50","-","0,57%"
"08.01.2019","918,50","923,25","925,62","914,62","-","-0,49%"
"07.01.2019","923,00","921,00","927,62","921,00","-","0,24%"
"06.01.2019","920,75","921,00","922,25","919,00","-","-0,15%"
"04.01.2019","922,12","910,50","922,38","910,25","-","1,28%"
"03.01.2019","910,50","905,25","913,25","904,25","-","0,41%"
"02.01.2019","906,75","894,00","910,50","892,25","-","1,43%"
"31.12.2018","894,00","893,25","901,75","892,00","-","1,27%"
"28.12.2018","882,75","868,00","886,38","868,00","-","1,47%"
"27.12.2018","870,00","870,50","875,75","867,00","-","-0,06%"
"26.12.2018","870,50","884,38","888,75","869,00","-","-1,55%"
"24.12.2018","884,25","881,12","886,50","879,50","-","0,11%"
"21.12.2018","883,25","895,50","895,50","883,25","-","-1,37%"
"20.12.2018","895,50","899,50","905,25","892,75","-","-0,39%"
"19.12.2018","899,00","906,88","909,88","899,00","-","-0,85%"
"18.12.2018","906,75","905,00","912,25","902,25","-","0,19%"
"17.12.2018","905,00","899,00","909,12","899,00","-","0,72%"
"16.12.2018","898,50","898,50","898,50","898,50","-","-0,19%"
"14.12.2018","900,25","906,00","910,12","900,00","-","-0,77%"
"13.12.2018","907,25","919,00","919,88","905,00","-","-1,22%"
"12.12.2018","918,50","914,75","928,00","914,00","-","0,49%"
"11.12.2018","914,00","906,00","917,12","906,00","-","0,55%"
"10.12.2018","909,00","914,00","916,38","908,50","-","-0,36%"
"09.12.2018","912,25","914,75","915,00","912,25","-","-0,41%"
"07.12.2018","916,00","909,75","917,88","907,50","-","0,69%"
"06.12.2018","909,75","911,50","912,00","897,00","-","-0,22%"
"05.12.2018","911,75","910,50","916,75","908,50","-","0,14%"
"04.12.2018","910,50","904,75","913,00","899,50","-","0,64%"
"03.12.2018","904,75","919,25","923,25","904,50","-","1,29%"
"30.11.2018","893,25","888,75","896,50","886,50","-","0,51%"
