real;dolar
51.34;23.46
53.12;24.98
53.19;24.76
53.06;25.12
52.7;24.98
51.53;24.92
51.2;24.87
51.71;24.98
53.06;25.2
53.41;25.65
53.51;25.36
53.4;25.72
53.4;26.24
52.98;26.12
52.88;25.99
53.01;26.15
52.96;26.15
52.5;26.01
52.87;26.24
52.96;26.36
52.17;26.48
52.44;26.85
52.07;27.06
52;26.49
52.78;27.18
53.19;27.18
53.72;27.33
53.37;27.57
53.44;27.39
52.44;27.24
51.19;26.21
51.18;26.02
52.25;26.63
52.36;26.51
51.81;26.26
51.42;25.41
51.93;26.2
52.18;26.29
52.63;27.04
52.33;26.99
52.53;26.75
52.47;26.71
53.27;27.61
53.74;27.53
53.25;27.28
52.98;27.03
50.98;25.58
50.18;24.96
49.93;25.07
50.29;25.15
50.03;25.27
49.7;25.24
49.66;25.66
47.94;24.84
47.67;24.72
47.54;24.98
47.22;24.76
47.21;24.8
47.69;25.25
48.21;25.41
48.27;25.74
49.43;26.26
49.89;26.2
51.87;27.68
51.56;27.65
51.75;28.2
51.55;28.28
51.08;28.21
50.97;27.74
51.27;28.11
50.58;27.35
51.46;27.92
51.2;27.91
51.13;27.91
50.28;27.14
48.59;26.01
47.86;25.94
47.67;25.84
48;26.04
48.23;26.34
49.4;26.78
49.82;26.83
50.02;26.88
50.23;26.93
50.43;26.79
49.7;26.31
49.21;25.83
48.4;25.68
48.5;25.99
47.88;26.02
48.67;26.64
48.22;26.26
47.21;25.93
46.4;25.4
46.3;25.54
46.25;25.61
47;26.11
46.4;25.68
46.5;25.7
45.5;25.06
45;25.03
44.64;24.98
44.8;24.83
43.4;24.14
44.1;24.61
43.6;24.32
43.62;24.62
43.72;24.45
43.25;24.33
43.28;24.58
43.83;25.02
44.1;25.11
44.17;25.4
44.17;25.43
44.5;25.77
44.6;26.19
45.08;26.54
44.25;25.88
44.5;26.01
44;25.23
44;25.51
44.13;25.58
44.5;25.98
43.42;24.95
44.13;25.37
43.41;24.73
43.17;24.94
43;24.49
42.67;24.45
43.83;25.37
44.25;25.7
43.73;25.44
43.67;25.67
42.83;24.95
42.2;24.51
42.5;24.45
41.25;23.95
42.25;24.71
41.25;24.02
40.63;23.66
41.57;23.97
41.86;24.14
41.1;23.78
40.9;23.57
40.92;23.71
41.08;23.48
40.83;23.43
40.92;23.33
41.17;23.91
40.95;23.78
40.43;23.66
40.58;23.52
41.17;23.91
41.83;23.8
42;23.72
41.5;23.5
41.38;23.58
41.67;23.92
40.5;23.1
41.38;23.64
41.5;23.18
41.67;23.37
41.33;23.16
41.33;23.19
41.33;23.52
42;24.12
